galaxy,n_pts,rmse_kms,v_flat_kms,g_bar_max_over_a0,bulge_fraction,gas_fraction,log_sb_central,mond_fraction,quality_flag
UGCA281,7,1.5193,29.5000,0.1098,0.0000,0.4069,1.9155,1.0000,✓
UGC01281,25,2.5502,56.9000,0.0440,0.0000,0.6386,1.3581,1.0000,✓
UGCA442,8,2.6284,56.5000,0.0608,0.0000,0.8305,0.7643,1.0000,✓
DDO064,14,2.7305,46.9000,0.0742,0.0000,0.7153,1.4355,1.0000,✓
F583-4,12,2.9354,69.9000,0.0752,0.0000,0.2033,1.7787,1.0000,✓
NGC3741,21,3.0216,51.6000,0.0853,0.0000,0.9434,0.9983,1.0000,✓
DDO154,12,3.2852,45.5000,0.0491,0.0000,0.9234,0.7420,1.0000,✓
UGC05918,8,3.5993,44.5000,0.0269,0.0000,0.5817,0.9676,1.0000,✓
UGCA444,36,3.6861,38.3000,0.0514,0.0000,0.9422,0.4519,1.0000,✓
F571-V1,7,4.0538,83.9000,0.0594,0.0000,0.6962,1.0323,1.0000,✓
NGC0247,26,4.1502,107.0000,0.0781,0.0000,0.4756,1.7350,1.0000,✓
UGC04483,8,4.1623,24.2000,0.0686,0.0000,0.8397,1.2903,1.0000,✓
UGC07151,11,4.3719,76.2000,0.1973,0.0000,0.3847,2.0051,1.0000,✓
NGC2976,27,4.6623,85.3000,0.6354,0.0000,0.2000,2.5855,1.0000,✓
UGC07323,10,4.8369,85.6000,0.1427,0.0000,0.2786,1.9846,1.0000,✓
NGC1003,36,4.8761,115.0000,0.3487,0.0000,0.5925,2.0319,1.0000,✓
UGC08550,11,4.9797,57.5000,0.1031,0.0000,0.7576,1.5371,1.0000,✓
UGC06923,6,5.0871,81.1000,0.3940,0.0000,0.3848,1.7118,1.0000,✓
UGC05414,6,5.1571,61.4000,0.1073,0.0000,0.4674,1.5241,1.0000,✓
UGC05716,12,5.3499,74.7000,0.0645,0.0000,0.8686,1.0129,1.0000,✓
UGC07524,31,5.4104,79.0000,0.0910,0.0000,0.5759,1.6340,1.0000,✓
UGC07690,7,5.4109,55.9000,0.4834,0.0000,0.4768,1.6232,1.0000,✓
UGC07261,7,5.6413,76.1000,0.1866,0.0000,0.5067,1.6671,1.0000,✓
UGC04499,9,5.6849,74.3000,0.1306,0.0000,0.6246,1.4076,1.0000,✓
NGC5585,24,5.7101,89.4000,0.3905,0.0000,0.5165,2.5930,1.0000,✓
NGC0100,21,5.7678,91.2000,0.1435,0.0000,0.2820,2.0582,1.0000,✓
UGC00891,5,5.9156,63.7500,0.0482,0.0000,0.7638,0.4816,1.0000,✓
DDO168,10,5.9796,52.0000,0.1329,0.0000,0.7834,1.1641,1.0000,✓
NGC3109,25,6.1839,67.3000,0.0334,0.0000,0.7875,0.9430,1.0000,✓
