galaxy,n_points,rmse_kms,v_flat_kms,g_bar_max_over_a0,g_bar_min_over_a0,lam_opt,a0,ml_disk,ml_bul
CamB,9,14.4808,20.10,0.0513,0.017561,0.000000,1.210000e-10,0.5,0.7
D564-8,6,6.5613,25.00,0.0173,0.006877,0.000000,1.210000e-10,0.5,0.7
D631-7,16,8.8870,57.30,0.0981,0.012391,0.000000,1.210000e-10,0.5,0.7
DDO064,14,2.7305,46.90,0.0742,0.001725,0.000000,1.210000e-10,0.5,0.7
DDO154,12,3.2852,45.50,0.0491,0.011953,0.000000,1.210000e-10,0.5,0.7
DDO161,31,15.5981,66.10,0.0877,0.017343,0.000000,1.210000e-10,0.5,0.7
DDO168,10,5.9796,52.00,0.1329,0.042326,0.000000,1.210000e-10,0.5,0.7
DDO170,8,12.1014,62.20,0.0345,0.015915,0.000000,1.210000e-10,0.5,0.7
ESO079-G014,15,18.5531,178.00,0.3149,0.150320,0.000000,1.210000e-10,0.5,0.7
ESO116-G012,15,14.0372,112.00,0.2795,0.060088,0.000000,1.210000e-10,0.5,0.7
ESO444-G084,7,12.1483,62.70,0.0844,0.014790,0.000000,1.210000e-10,0.5,0.7
ESO563-G021,30,65.3057,312.00,1.4432,0.134731,0.000000,1.210000e-10,0.5,0.7
F561-1,6,28.7199,50.40,0.0726,0.055958,0.000000,1.210000e-10,0.5,0.7
F563-1,17,20.6886,106.00,0.0476,0.019887,0.000000,1.210000e-10,0.5,0.7
F563-V1,6,27.4854,27.30,0.0316,0.016945,0.000000,1.210000e-10,0.5,0.7
F563-V2,10,26.8528,118.00,0.0888,0.019367,0.000000,1.210000e-10,0.5,0.7
F565-V2,7,8.6770,83.10,0.0292,0.020719,0.000000,1.210000e-10,0.5,0.7
F567-2,5,17.2270,52.20,0.0324,0.024958,0.000000,1.210000e-10,0.5,0.7
F568-1,12,33.7613,142.00,0.0765,0.043113,0.000000,1.210000e-10,0.5,0.7
F568-3,18,9.1058,120.00,0.0677,0.039057,0.000000,1.210000e-10,0.5,0.7
F568-V1,15,28.9833,118.00,0.0936,0.028054,0.000000,1.210000e-10,0.5,0.7
F571-8,13,26.9872,144.00,1.2631,0.028652,0.000000,1.210000e-10,0.5,0.7
F571-V1,7,4.0538,83.90,0.0594,0.023309,0.000000,1.210000e-10,0.5,0.7
